"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"9FD8FD44525032F0","classic_bike","2024-05-02 07:04:58","2024-05-02 07:08:40","Maverick St at Massport Path","A32044","Bremen St at Marion St","A32032",42.36774122306014,-71.0333597474255,42.37410622047334,-71.03276252757496,"casual"
"BE07A7AC19F614F9","classic_bike","2024-05-03 17:01:58","2024-05-03 17:05:47","Maverick St at Massport Path","A32044","Bremen St at Marion St","A32032",42.36774122306014,-71.0333597474255,42.37410622047334,-71.03276252757496,"member"
"8C80CDBBD6103D4C","classic_bike","2024-05-03 13:04:13","2024-05-03 13:09:00","Maverick St at Massport Path","A32044","Bremen St at Marion St","A32032",42.36774122306014,-71.0333597474255,42.37410622047334,-71.03276252757496,"member"
"EEAB86ABE86D14D6","classic_bike","2024-05-25 20:15:42","2024-05-25 20:27:03","Congress St at Boston City Hall","D32009","Beacon St at Charles St","D32024",42.36041774637169,-71.05752243543975,42.356052,-71.069849,"casual"
"D8A8E4C36FF24DA1","electric_bike","2024-05-01 18:50:41","2024-05-01 19:21:42","Congress St at Boston City Hall","D32009","Forest Hills","E32010",42.360606551,-71.057438374,42.300923,-71.114249,"member"
"6F9BDC48EF425B31","classic_bike","2024-05-18 15:07:29","2024-05-18 15:23:14","Medford Sq - Riverside Ave at River St","F32002","Elm St at White St","S32039",42.417724,-71.108102,42.38952436305763,-71.11694140364307,"member"
"6331895531BAB37D","classic_bike","2024-05-10 13:34:47","2024-05-10 13:38:55","Maverick St at Massport Path","A32044","Maverick Square - Lewis Mall","A32030",42.36774122306014,-71.0333597474255,42.368844082898356,-71.03977829217911,"member"
"357546A32FDB2643","classic_bike","2024-05-22 19:38:59","2024-05-22 19:55:39","Maverick St at Massport Path","A32044","Maverick Square - Lewis Mall","A32030",42.36774122306014,-71.0333597474255,42.368844082898356,-71.03977829217911,"member"
"2B970DF9EA588AE2","classic_bike","2024-05-11 12:37:06","2024-05-11 12:55:11","Congress St at Boston City Hall","D32009","Newbury St at Hereford St","B32000",42.36041774637169,-71.05752243543975,42.348717,-71.085954,"member"
"5DC54AFF42030EC5","classic_bike","2024-05-18 11:05:33","2024-05-18 11:19:01","NCAAA - Walnut Ave at Crawford St","B32027","Forsyth St at Huntington Ave","B32062",42.316902,-71.091946,42.339202,-71.090511,"member"
"5232F5FF41F036BA","classic_bike","2024-05-11 17:59:00","2024-05-11 18:10:11","Congress St at Boston City Hall","D32009","Tremont St at E Berkeley St","C32000",42.36041774637169,-71.05752243543975,42.345392,-71.069616,"member"
"46A1C36E9A52A257","electric_bike","2024-05-14 18:32:09","2024-05-14 18:38:00","Lesley University","M32039","Linear Park - Mass. Ave. at Cameron Ave. ","M32025",42.3865273,-71.119189382,42.397828,-71.130516,"member"
"FF56344A1790AC06","classic_bike","2024-05-24 12:18:31","2024-05-24 12:40:26","Maverick St at Massport Path","A32044","Orient Heights T Stop - Bennington St at Saratoga St","A32035",42.36774122306014,-71.0333597474255,42.386781,-71.006098,"casual"
"472FCC6F66E33181","classic_bike","2024-05-24 12:18:14","2024-05-24 12:40:33","Maverick St at Massport Path","A32044","Orient Heights T Stop - Bennington St at Saratoga St","A32035",42.36774122306014,-71.0333597474255,42.386781,-71.006098,"casual"
"551F0036D88B98E6","classic_bike","2024-05-20 14:57:09","2024-05-20 15:11:53","Medford Sq - Riverside Ave at River St","F32002","Haines Square","F32005",42.417724,-71.108102,42.423331368452885,-71.09124541293568,"casual"
